frame,arm,activity,depth,cube_size,pushing_power,size_reduction,size_reduction_component,combined_reward
85,6,2.00,367,5,2.00,3.00,1.20,2.40
86,6,2.49,376,4,1.00,0.00,0.00,0.60
86,6,1.55,375,5,2.00,3.00,1.20,2.40
63,6,1.00,400,5,1.00,0.00,0.00,0.60
63,6,1.00,401,6,2.00,1.00,0.40,1.60
64,6,2.00,399,7,2.00,4.00,1.60,2.80
49,6,1.00,417,6,1.00,3.00,1.20,1.80
50,6,1.60,417,4,1.00,1.00,0.40,1.00
50,6,1.00,418,3,2.00,0.00,0.00,1.20
51,6,2.00,415,7,2.00,5.00,2.00,3.20
52,6,1.36,418,4,1.00,1.00,0.40,1.00
53,6,1.82,418,4,1.00,0.00,0.00,0.60
53,6,1.71,417,4,2.00,0.00,0.00,1.20
53,6,1.72,415,7,3.00,5.00,2.00,3.80
49,6,1.00,423,3,7.00,0.00,0.00,4.20
55,6,1.00,424,5,1.00,0.00,0.00,0.60
38,6,1.00,442,2,1.00,1.00,0.40,1.00
39,6,1.60,442,2,1.00,1.00,0.40,1.00
40,6,1.96,442,2,1.00,1.00,0.40,1.00
41,6,2.18,442,2,1.00,1.00,0.40,1.00
42,6,2.31,442,2,1.00,0.00,0.00,0.60
42,6,1.60,439,2,2.00,0.00,0.00,1.20
43,6,2.38,442,3,1.00,1.00,0.40,1.00
44,6,2.43,442,3,1.00,1.00,0.40,1.00
44,6,1.58,439,3,2.00,1.00,0.40,1.60
45,6,2.46,442,3,1.00,1.00,0.40,1.00
46,6,2.47,442,3,1.00,0.00,0.00,0.60
46,6,1.03,441,3,2.00,0.00,0.00,1.20
46,6,1.57,439,5,3.00,3.00,1.20,3.00
37,6,1.00,452,5,1.00,2.00,0.80,1.40
38,6,1.60,452,4,1.00,2.00,0.80,1.40
39,6,1.96,452,3,1.00,1.00,0.40,1.00
40,6,2.18,452,3,1.00,0.00,0.00,0.60
41,6,2.31,452,4,1.00,1.00,0.40,1.00
42,6,2.38,452,4,1.00,1.00,0.40,1.00
42,6,2.00,447,1,2.00,0.00,0.00,1.20
43,6,2.43,452,4,1.00,1.00,0.40,1.00
44,6,2.46,452,4,1.00,1.00,0.40,1.00
44,6,1.72,447,1,2.00,0.00,0.00,1.20
45,6,2.47,452,4,1.00,1.00,0.40,1.00
46,6,2.48,452,4,1.00,1.00,0.40,1.00
46,6,1.62,447,1,2.00,0.00,0.00,1.20
47,6,2.49,452,4,1.00,0.00,0.00,0.60
47,6,1.01,451,4,2.00,0.00,0.00,1.20
48,6,2.49,452,5,1.00,1.00,0.40,1.00
48,6,1.58,447,1,2.00,0.00,0.00,1.20
49,6,2.50,452,5,1.00,1.00,0.40,1.00
49,6,1.36,451,5,2.00,1.00,0.40,1.60
50,6,2.50,452,5,1.00,0.00,0.00,0.60
50,6,1.57,447,3,2.00,2.00,0.80,2.00
29,2,1.00,474,3,1.00,0.00,0.00,0.60
20,2,1.00,484,3,1.00,0.00,0.00,0.60
20,2,1.00,485,3,2.00,0.00,0.00,1.20
21,2,2.00,483,5,2.00,2.00,0.80,2.00
19,2,1.00,488,4,1.00,0.00,0.00,0.60
16,2,1.00,492,2,1.00,0.00,0.00,0.60
16,2,1.00,493,2,2.00,0.00,0.00,1.20
17,2,2.00,491,3,2.00,1.00,0.40,1.60
1,2,1.00,510,1,135.00,0.00,0.00,81.00
140,6,1.00,510,2,1.00,0.00,0.00,0.60
140,6,1.00,509,3,1.00,1.00,0.40,1.00
140,6,1.00,507,4,1.00,2.00,0.80,1.40
140,6,1.00,503,2,1.00,1.00,0.40,1.00
141,6,1.60,510,2,1.00,1.00,0.40,1.00
142,6,1.96,510,2,1.00,1.00,0.40,1.00
143,6,2.18,510,2,1.00,1.00,0.40,1.00
144,6,2.31,510,2,1.00,1.00,0.40,1.00
145,6,2.38,510,2,1.00,1.00,0.40,1.00
146,6,2.43,510,2,1.00,1.00,0.40,1.00
147,6,2.46,510,2,1.00,1.00,0.40,1.00
148,6,2.47,510,2,1.00,1.00,0.40,1.00
149,6,2.48,510,2,1.00,0.00,0.00,0.60
149,6,1.01,509,3,1.00,1.00,0.40,1.00
149,6,1.01,507,2,1.00,0.00,0.00,0.60
149,6,1.01,503,2,1.00,1.00,0.40,1.00
150,6,2.49,510,2,1.00,1.00,0.40,1.00
151,6,2.49,510,2,1.00,1.00,0.40,1.00
152,6,2.50,510,2,1.00,1.00,0.40,1.00
153,6,2.50,510,2,1.00,1.00,0.40,1.00
154,6,2.50,510,2,1.00,1.00,0.40,1.00
155,6,2.50,510,2,1.00,0.00,0.00,0.60
155,6,1.05,509,3,1.00,1.00,0.40,1.00
155,6,1.05,507,2,1.00,0.00,0.00,0.60
155,6,1.05,503,2,1.00,0.00,0.00,0.60
